Jahr,RaumSort,RaumLang,RechtsformSort,RechtsformLang,asBetriebsgrSort,BetriebsgrLang,Arbeitsstaetten,AnzBesch,AnzBeschW,AnzBeschM,AnzVZAano,AnzVZAWano,AnzVZAMano
2011,11,Rathaus,0,Alle Rechtsformen,2,Kleine Unternehmen,139,3512,1862,1650,2505,1185,1320
2011,11,Rathaus,0,Alle Rechtsformen,3,Mittlere Unternehmen,14,1926,846,1080,1349,526,823
2011,11,Rathaus,0,Alle Rechtsformen,4,Grosse Unternehmen,1,293,168,125,251,130,121
2011,11,Rathaus,1,Einzelfirmen,0,Alle Betriebsgrössen,690,1682,911,771,1181,559,621
2011,11,Rathaus,1,Einzelfirmen,1,Mikrounternehmen,673,1334,793,541,902,477,424
2011,11,Rathaus,1,Einzelfirmen,2,Kleine Unternehmen,17,348,118,230,279,82,197
2011,11,Rathaus,2,Personengesellschaften,0,Alle Betriebsgrössen,67,345,218,127,250,149,101
2011,11,Rathaus,2,Personengesellschaften,1,Mikrounternehmen,61,238,152,86,168,98,70
2011,11,Rathaus,2,Personengesellschaften,2,Kleine Unternehmen,6,107,66,41,82,51,31
2011,11,Rathaus,3,Aktiengesellschaften,0,Alle Betriebsgrössen,465,4455,2344,2111,3305,1547,1757
2011,11,Rathaus,3,Aktiengesellschaften,1,Mikrounternehmen,389,1905,1112,793,1391,745,645
2011,11,Rathaus,3,Aktiengesellschaften,2,Kleine Unternehmen,68,1666,827,839,1262,566,696
2011,11,Rathaus,3,Aktiengesellschaften,3,Mittlere Unternehmen,8,884,405,479,652,236,416
2011,11,Rathaus,4,GmbH,0,Alle Betriebsgrössen,200,1125,653,472,786,397,389
2011,11,Rathaus,4,GmbH,1,Mikrounternehmen,179,658,362,296,470,228,242
2011,11,Rathaus,4,GmbH,2,Kleine Unternehmen,21,467,291,176,316,169,147
2011,11,Rathaus,5,Genossenschaften,0,Alle Betriebsgrössen,11,650,264,386,363,132,231
2011,11,Rathaus,5,Genossenschaften,1,Mikrounternehmen,5,25,22,3,18,16,2
2011,11,Rathaus,5,Genossenschaften,2,Kleine Unternehmen,4,168,128,40,,,
2011,11,Rathaus,5,Genossenschaften,3,Mittlere Unternehmen,2,457,114,343,,,
2011,11,Rathaus,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,7,41,11,30,35,8,27
2011,11,Rathaus,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,6,14,10,4,,,
2011,11,Rathaus,6,Ausländische Kapitalgesellschaften,2,Kleine Unternehmen,1,27,1,26,,,
2011,11,Rathaus,7,"Vereine, Stiftungen",0,Alle Betriebsgrössen,55,667,414,253,390,235,155
2011,11,Rathaus,7,"Vereine, Stiftungen",1,Mikrounternehmen,42,194,110,84,100,56,44
2011,11,Rathaus,7,"Vereine, Stiftungen",2,Kleine Unternehmen,13,473,304,169,290,179,111
2011,11,Rathaus,8,"Öffentliche Unternehmen, Verwaltung",0,Alle Betriebsgrössen,27,1215,677,538,895,466,429
2011,11,Rathaus,8,"Öffentliche Unternehmen, Verwaltung",1,Mikrounternehmen,13,81,55,26,40,25,15
2011,11,Rathaus,8,"Öffentliche Unternehmen, Verwaltung",2,Kleine Unternehmen,9,256,127,129,175,84,91
2011,11,Rathaus,8,"Öffentliche Unternehmen, Verwaltung",3,Mittlere Unternehmen,4,585,327,258,429,227,202
2011,11,Rathaus,8,"Öffentliche Unternehmen, Verwaltung",4,Grosse Unternehmen,1,293,168,125,,,
2011,12,Hochschulen,0,Alle Rechtsformen,0,Alle Betriebsgrössen,700,13203,7025,6178,9090,4376,4714
2011,12,Hochschulen,0,Alle Rechtsformen,1,Mikrounternehmen,556,2041,1303,738,1397,837,558
2011,12,Hochschulen,0,Alle Rechtsformen,2,Kleine Unternehmen,102,3405,1955,1450,2229,1109,1119
2011,12,Hochschulen,0,Alle Rechtsformen,3,Mittlere Unternehmen,37,4716,2350,2366,3199,1457,1744
2011,12,Hochschulen,0,Alle Rechtsformen,4,Grosse Unternehmen,5,3041,1417,1624,2265,973,1293
2011,12,Hochschulen,1,Einzelfirmen,0,Alle Betriebsgrössen,272,804,564,240,560,368,190
2011,12,Hochschulen,1,Einzelfirmen,1,Mikrounternehmen,266,639,437,202,429,269,159
2011,12,Hochschulen,1,Einzelfirmen,2,Kleine Unternehmen,6,165,127,38,131,99,31
2011,12,Hochschulen,2,Personengesellschaften,0,Alle Betriebsgrössen,28,134,101,33,93,67,26
2011,12,Hochschulen,2,Personengesellschaften,1,Mikrounternehmen,26,104,88,16,70,58,12
2011,12,Hochschulen,2,Personengesellschaften,2,Kleine Unternehmen,2,30,13,17,,,
2011,12,Hochschulen,3,Aktiengesellschaften,0,Alle Betriebsgrössen,197,4304,2152,2152,3270,1496,1776
2011,12,Hochschulen,3,Aktiengesellschaften,1,Mikrounternehmen,142,725,446,279,518,304,214
2011,12,Hochschulen,3,Aktiengesellschaften,2,Kleine Unternehmen,46,1283,651,632,1006,463,543
2011,12,Hochschulen,3,Aktiengesellschaften,3,Mittlere Unternehmen,7,752,355,397,668,293,376
2011,12,Hochschulen,3,Aktiengesellschaften,4,Grosse Unternehmen,2,1544,700,844,,,
2011,12,Hochschulen,4,GmbH,0,Alle Betriebsgrössen,49,254,140,114,170,78,92
2011,12,Hochschulen,4,GmbH,1,Mikrounternehmen,47,176,102,74,126,64,62
2011,12,Hochschulen,4,GmbH,2,Kleine Unternehmen,2,78,38,40,,,
2011,12,Hochschulen,5,Genossenschaften,0,Alle Betriebsgrössen,16,373,272,101,303,214,88
2011,12,Hochschulen,5,Genossenschaften,1,Mikrounternehmen,9,50,34,16,40,28,11
2011,12,Hochschulen,5,Genossenschaften,2,Kleine Unternehmen,6,191,126,65,165,104,61
2011,12,Hochschulen,5,Genossenschaften,3,Mittlere Unternehmen,1,132,112,20,,,
2011,12,Hochschulen,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,3,38,9,29,35,8,27
2011,12,Hochschulen,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,1,2,1,1,,,
2011,12,Hochschulen,6,Ausländische Kapitalgesellschaften,2,Kleine Unternehmen,2,36,8,28,,,
2011,12,Hochschulen,7,"Vereine, Stiftungen",0,Alle Betriebsgrössen,63,1572,781,791,820,387,434
2011,12,Hochschulen,7,"Vereine, Stiftungen",1,Mikrounternehmen,47,215,132,83,129,79,50
2011,12,Hochschulen,7,"Vereine, Stiftungen",2,Kleine Unternehmen,11,305,179,126,180,105,75
2011,12,Hochschulen,7,"Vereine, Stiftungen",3,Mittlere Unternehmen,5,1052,470,582,,,
2011,12,Hochschulen,8,"Öffentliche Unternehmen, Verwaltung",0,Alle Betriebsgrössen,72,5724,3006,2718,3839,1758,2081
2011,12,Hochschulen,8,"Öffentliche Unternehmen, Verwaltung",1,Mikrounternehmen,18,130,63,67,83,34,49
